C-2015-12
"December 1, 2015 - December 31, 2015"
"Total: $ 39,831.69"


Date,Description,Currency,Amount,Category,Payment,Start/Stop Mileage,Receipt - Excel File Link
1/30/16,,USD,6.19,Smokes,Cash,,
1/30/16,,USD,10.00,Cover Charge,Cash,,
1/30/16,,USD,10.00,Snack,Cash,,
1/30/16,,USD,46.00,Drinks,Cash,,
1/31/16,,USD,11.00,Drinks,Cash,,
1/31/16,,USD,5.75,Drinks,Cash,,
1/31/16,,USD,5.96,Groceries,Cash,,
2/1/16,,USD,9.01,Lunch,Cash,,
2/1/16,,USD,6.75,Snack,Cash,,
2/2/16,,USD,5.20,Starbucks,Cash,,
2/2/16,,USD,5.99,Groceries,Cash,,
2/2/16,,USD,5.00,Fuel,Cash,,
2/2/16,,USD,11.49,Lunch,Cash,,
2/2/16,,USD,2.92,Starbucks,Cash,,
2/2/16,P2.399,USD,10.00,Fuel,Cash,,
2/3/16,,USD,11.01,Lunch,Cash,,
2/3/16,,USD,4.22,Groceries,Cash,,
2/4/16,,USD,11.25,Lunch,Cash,,
2/4/16,,USD,20.00,Medical,Cash,,
2/4/16,,USD,13.09,Groceries,Cash,,
2/4/16,P2.199,USD,20.00,Fuel,Cash,,
2/5/16,,USD,20.00,Drinks,Cash,,
2/5/16,Felicity,USD,45.00,Gifts,Cash,,
2/5/16,,USD,5.76,Lunch,Cash,,
2/6/16,P2.199,USD,20.00,Fuel,Cash,,
2/6/16,,USD,35.00,Lunch,Cash,,
2/6/16,,USD,30.00,Drinks,Cash,,
2/6/16,,USD,22.00,Drinks,Cash,,
2/6/16,,USD,10.00,Drinks,Cash,,
2/7/16,,USD,3.30,Drinks,Cash,,
2/7/16,,USD,10.00,Drinks,Cash,,
2/7/16,,USD,33.00,Drinks,Cash,,
2/7/16,"P2,439",USD,10.00,Fuel,Cash,,
2/7/16,,USD,6.33,Smokes,Cash,,
2/8/16,ContactLenses,USD,94.00,Medical,Cash,,
2/8/16,,USD,9.27,Lunch,Cash,,
2/8/16,,USD,17.32,Groceries,Cash,,
2/9/16,,USD,20.00,Medical,Cash,,
2/9/16,,USD,10.00,Lunch,Cash,,
2/9/16,,USD,2.92,Starbucks,Cash,,
2/9/16,,USD,19.22,Groceries,Cash,,
2/10/16,P1.99,USD,15.00,Fuel,Cash,,
2/10/16,,USD,10.33,Groceries,Cash,,
2/10/16,,USD,9.01,Lunch,Cash,,
2/11/16,,USD,2.92,Starbucks,Cash,,
2/11/16,,USD,11.25,Lunch,Cash,,
2/11/16,,USD,50.00,HomeMaintenance,Cash,,
2/11/16,,USD,17.74,Groceries,Cash,,
2/12/16,,USD,7.67,Lunch,Cash,,
2/12/16,,USD,14.95,Laundry,Cash,,
2/12/16,,USD,55.00,Boxing,Cash,,
2/13/16,,USD,12.18,Miscellaneous,Cash,,
2/13/16,P1.99,USD,25.00,Fuel,Cash,,
2/13/16,,USD,29.66,Miscellaneous,Cash,,
2/14/16,CheeseBurgerInParadise,USD,31.00,Lunch,Cash,,
2/16/16,,USD,7.52,Starbucks,Cash,,
2/16/16,,USD,16.23,Groceries,Cash,,
2/17/16,,USD,2.94,Postage,Cash,,
2/17/16,P2.399,USD,25.00,Fuel,Cash,,
2/17/16,,USD,13.32,Lunch,Cash,,
2/18/16,,USD,5.99,Starbucks,Cash,,
2/18/16,,USD,5.57,Starbucks,Cash,,
2/18/16,,USD,7.25,Lunch,Cash,,
2/18/16,,USD,3.45,Starbucks,Cash,,
2/19/16,,USD,30.00,Haircut,Cash,,
2/19/16,,USD,17.42,Drinks,Cash,,
2/19/16,,USD,10.38,Lunch,Cash,,
2/19/16,,USD,19.17,Groceries,Cash,,
2/19/16,,USD,13.50,Dinner,Cash,,
2/19/16,P1.99,USD,30.00,Fuel,Cash,,
2/20/16,,USD,6.00,Snack,Cash,,
2/20/16,,USD,24.00,Snack,Cash,,
2/20/16,,USD,25.00,Drinks,Cash,,
2/20/16,,USD,8.16,Drinks,Cash,,
2/20/16,,USD,18.70,Drinks,Cash,,
2/20/16,,USD,17.20,Drinks,Cash,,
2/21/16,,USD,30.00,Drinks,Cash,,
2/21/16,,USD,25.00,Drinks,Cash,,
2/21/16,,USD,28.00,Lunch,Cash,,
2/21/16,,USD,72.00,Dinner,Cash,,
2/22/16,P2.034,USD,10.00,Fuel,Cash,,
2/22/16,,USD,20.09,Lunch,Cash,,
2/22/16,,USD,4.00,Snack,Cash,,
2/22/16,,USD,20.00,Medical,Cash,,
2/23/16,P2.329,USD,5.00,Fuel,Cash,,
2/23/16,,USD,26.68,Groceries,Cash,,
2/23/16,,USD,4.99,Groceries,Cash,,
2/24/16,,USD,10.65,Smokes,Cash,,
2/24/16,,USD,20.37,Groceries,Cash,,
2/25/16,,USD,6.25,Lunch,Cash,,
2/25/16,,USD,2.92,Starbucks,Cash,,
2/25/16,P2.199,USD,5.00,Fuel,Cash,,
2/25/16,,USD,9.50,DrewTime,Cash,,
2/25/16,P1.99,USD,30.00,Fuel,Cash,,
2/25/16,,USD,15.51,Groceries,Cash,,
2/26/16,,USD,10.80,Lunch,Cash,,
2/26/16,,USD,14.95,Laundry,Cash,,
2/26/16,,USD,60.00,Drinks,Cash,,
